RandRep,Treat,Gen,Reason,Status,pdG,pdH
876,1,1,Convergence criteria met.,0,0,1
876,1,2,Convergence criteria met.,0,0,1
876,1,3,Convergence criteria met.,0,0,1
876,1,4,Convergence criteria met.,0,0,1
876,1,5,Convergence criteria met.,0,0,1
876,1,6,Convergence criteria met.,0,0,1
876,3,1,Convergence criteria met.,0,0,1
876,3,2,Convergence criteria met.,0,0,1
876,3,3,Convergence criteria met.,0,0,1
876,3,4,Convergence criteria met.,0,0,1
876,3,5,Convergence criteria met.,0,0,1
876,3,6,Convergence criteria met.,0,0,1
877,1,1,Convergence criteria met.,0,0,1
877,1,2,Convergence criteria met.,0,0,1
877,1,3,Convergence criteria met.,0,0,1
877,1,4,Convergence criteria met.,0,0,1
877,1,5,Convergence criteria met.,0,0,1
877,1,6,Convergence criteria met.,0,0,1
877,3,1,Convergence criteria met.,0,0,1
877,3,2,Convergence criteria met.,0,0,1
877,3,3,Convergence criteria met.,0,0,1
877,3,4,Convergence criteria met.,0,0,1
877,3,5,Convergence criteria met.,0,0,1
877,3,6,Convergence criteria met.,0,0,1
878,1,1,Convergence criteria met.,0,0,1
878,1,2,Convergence criteria met.,0,0,1
878,1,3,Convergence criteria met.,0,0,1
878,1,4,Convergence criteria met.,0,0,1
878,1,5,Convergence criteria met.,0,0,1
878,1,6,Convergence criteria met.,0,0,1
878,3,1,Convergence criteria met.,0,0,1
878,3,2,Convergence criteria met.,0,0,1
878,3,3,Convergence criteria met.,0,0,1
878,3,4,Convergence criteria met.,0,0,1
878,3,5,Convergence criteria met.,0,0,1
878,3,6,Convergence criteria met.,0,0,1
879,1,1,Convergence criteria met.,0,0,1
879,1,2,Convergence criteria met.,0,0,1
879,1,3,Convergence criteria met.,0,0,1
879,1,4,Convergence criteria met.,0,0,1
879,1,5,Convergence criteria met.,0,0,1
879,1,6,Convergence criteria met.,0,0,1
879,3,1,Convergence criteria met.,0,0,1
879,3,2,Convergence criteria met.,0,0,1
879,3,3,Convergence criteria met.,0,0,1
879,3,4,Convergence criteria met.,0,0,1
879,3,5,Convergence criteria met.,0,0,1
879,3,6,Convergence criteria met.,0,0,1
880,1,1,Convergence criteria met.,0,0,1
880,1,2,Convergence criteria met.,0,0,1
880,1,3,Convergence criteria met.,0,0,1
880,1,4,Convergence criteria met.,0,0,1
880,1,5,Convergence criteria met.,0,0,1
880,1,6,Convergence criteria met.,0,0,1
880,3,1,Convergence criteria met.,0,0,1
880,3,2,Convergence criteria met.,0,0,1
880,3,3,Convergence criteria met.,0,0,1
880,3,4,Convergence criteria met.,0,0,1
880,3,5,Convergence criteria met.,0,0,1
880,3,6,Convergence criteria met.,0,0,1
881,1,1,Convergence criteria met.,0,0,1
881,1,2,Convergence criteria met.,0,0,1
881,1,3,Convergence criteria met.,0,0,1
881,1,4,Convergence criteria met.,0,0,1
881,1,5,Convergence criteria met.,0,0,1
881,1,6,Convergence criteria met.,0,0,1
881,3,1,Convergence criteria met.,0,0,1
881,3,2,Convergence criteria met.,0,0,1
881,3,3,Convergence criteria met.,0,0,1
881,3,4,Convergence criteria met.,0,0,1
881,3,5,Convergence criteria met.,0,0,1
881,3,6,Convergence criteria met.,0,0,1
882,1,1,Convergence criteria met.,0,0,1
882,1,2,Convergence criteria met.,0,0,1
882,1,3,Convergence criteria met.,0,0,1
882,1,4,Convergence criteria met.,0,0,1
882,1,5,Convergence criteria met.,0,0,1
882,1,6,Convergence criteria met.,0,0,1
882,3,1,Convergence criteria met.,0,0,1
882,3,2,Convergence criteria met.,0,0,1
882,3,3,Convergence criteria met.,0,0,1
882,3,4,Convergence criteria met.,0,0,1
882,3,5,Convergence criteria met.,0,0,1
882,3,6,Convergence criteria met.,0,0,1
883,1,1,Convergence criteria met.,0,0,1
883,1,2,Convergence criteria met.,0,0,1
883,1,3,Convergence criteria met.,0,0,1
883,1,4,Convergence criteria met.,0,0,1
883,1,5,Convergence criteria met.,0,0,1
883,1,6,Convergence criteria met.,0,0,1
883,3,1,Convergence criteria met.,0,0,1
883,3,2,Convergence criteria met.,0,0,1
883,3,3,Convergence criteria met.,0,0,1
883,3,4,Convergence criteria met.,0,0,1
883,3,5,Convergence criteria met.,0,0,1
883,3,6,Convergence criteria met.,0,0,1
884,1,1,Convergence criteria met.,0,0,1
884,1,2,Convergence criteria met.,0,0,1
884,1,3,Convergence criteria met.,0,0,1
884,1,4,Convergence criteria met.,0,0,1
884,1,5,Convergence criteria met.,0,0,1
884,1,6,Convergence criteria met.,0,0,1
884,3,1,Convergence criteria met.,0,0,1
884,3,2,Convergence criteria met.,0,0,1
884,3,3,Convergence criteria met.,0,0,1
884,3,4,Convergence criteria met.,0,0,1
884,3,5,Convergence criteria met.,0,0,1
884,3,6,Convergence criteria met.,0,0,1
885,1,1,Convergence criteria met.,0,0,1
885,1,2,Convergence criteria met.,0,0,1
885,1,3,Convergence criteria met.,0,0,1
885,1,4,Convergence criteria met.,0,0,1
885,1,5,Convergence criteria met.,0,0,1
885,1,6,Convergence criteria met.,0,0,1
885,3,1,Convergence criteria met.,0,0,1
885,3,2,Convergence criteria met.,0,0,1
885,3,3,Convergence criteria met.,0,0,1
885,3,4,Convergence criteria met.,0,0,1
885,3,5,Convergence criteria met.,0,0,1
885,3,6,Convergence criteria met.,0,0,1
886,1,1,Convergence criteria met.,0,0,1
886,1,2,Convergence criteria met.,0,0,1
886,1,3,Convergence criteria met.,0,0,1
886,1,4,Convergence criteria met.,0,0,1
886,1,5,Convergence criteria met.,0,0,1
886,1,6,Convergence criteria met.,0,0,1
886,3,1,Convergence criteria met.,0,0,1
886,3,2,Convergence criteria met.,0,0,1
886,3,3,Convergence criteria met.,0,0,1
886,3,4,Convergence criteria met.,0,0,1
886,3,5,Convergence criteria met.,0,0,1
886,3,6,Convergence criteria met.,0,0,1
887,1,1,Convergence criteria met.,0,0,1
887,1,2,Convergence criteria met.,0,0,1
887,1,3,Convergence criteria met.,0,0,1
887,1,4,Convergence criteria met.,0,0,1
887,1,5,Convergence criteria met.,0,0,1
887,1,6,Convergence criteria met.,0,0,1
887,3,1,Convergence criteria met.,0,0,1
887,3,2,Convergence criteria met.,0,0,1
887,3,3,Convergence criteria met.,0,0,1
887,3,4,Convergence criteria met.,0,0,1
887,3,5,Convergence criteria met.,0,0,1
887,3,6,Convergence criteria met.,0,0,1
888,1,1,Convergence criteria met.,0,0,1
888,1,2,Convergence criteria met.,0,0,1
888,1,3,Convergence criteria met.,0,0,1
888,1,4,Convergence criteria met.,0,0,1
888,1,5,Convergence criteria met.,0,0,1
888,1,6,Convergence criteria met.,0,0,1
888,3,1,Convergence criteria met.,0,0,1
888,3,2,Convergence criteria met.,0,0,1
888,3,3,Convergence criteria met.,0,0,1
888,3,4,Convergence criteria met.,0,0,1
888,3,5,Convergence criteria met.,0,0,1
888,3,6,Convergence criteria met.,0,0,1
889,1,1,Convergence criteria met.,0,0,1
889,1,2,Convergence criteria met.,0,0,1
889,1,3,Convergence criteria met.,0,0,1
889,1,4,Convergence criteria met.,0,0,1
889,1,5,Convergence criteria met.,0,0,1
889,1,6,Convergence criteria met.,0,0,1
889,3,1,Convergence criteria met.,0,0,1
889,3,2,Convergence criteria met.,0,0,1
889,3,3,Convergence criteria met.,0,0,1
889,3,4,Convergence criteria met.,0,0,1
889,3,5,Convergence criteria met.,0,0,1
889,3,6,Convergence criteria met.,0,0,1
890,1,1,Convergence criteria met.,0,0,1
890,1,2,Convergence criteria met.,0,0,1
890,1,3,Convergence criteria met.,0,0,1
890,1,4,Convergence criteria met.,0,0,1
890,1,5,Convergence criteria met.,0,0,1
890,1,6,Convergence criteria met.,0,0,1
890,3,1,Convergence criteria met.,0,0,1
890,3,2,Convergence criteria met.,0,0,1
890,3,3,Convergence criteria met.,0,0,1
890,3,4,Convergence criteria met.,0,0,1
890,3,5,Convergence criteria met.,0,0,1
890,3,6,Convergence criteria met.,0,0,1
891,1,1,Convergence criteria met.,0,0,1
891,1,2,Convergence criteria met.,0,0,1
891,1,3,Convergence criteria met.,0,0,1
891,1,4,Convergence criteria met.,0,0,1
891,1,5,Convergence criteria met.,0,0,1
891,1,6,Convergence criteria met.,0,0,1
891,3,1,Convergence criteria met.,0,0,1
891,3,2,Convergence criteria met.,0,0,1
891,3,3,Convergence criteria met.,0,0,1
891,3,4,Convergence criteria met.,0,0,1
891,3,5,Convergence criteria met.,0,0,1
891,3,6,Convergence criteria met.,0,0,1
892,1,1,Convergence criteria met.,0,0,1
892,1,2,Convergence criteria met.,0,0,1
892,1,3,Convergence criteria met.,0,0,1
892,1,4,Convergence criteria met.,0,0,1
892,1,5,Convergence criteria met.,0,0,1
892,1,6,Convergence criteria met.,0,0,1
892,3,1,Convergence criteria met.,0,0,1
892,3,2,Convergence criteria met.,0,0,1
