RandRep,Treat,Gen,Reason,Status,pdG,pdH
751,1,1,Convergence criteria met.,0,0,1
751,1,2,Convergence criteria met.,0,0,1
751,1,3,Convergence criteria met.,0,0,1
751,1,4,Convergence criteria met.,0,0,1
751,1,5,Convergence criteria met.,0,0,1
751,1,6,Convergence criteria met.,0,0,1
751,3,1,Convergence criteria met.,0,0,1
751,3,2,Convergence criteria met.,0,0,1
751,3,3,Convergence criteria met.,0,0,1
751,3,4,Convergence criteria met.,0,0,1
751,3,5,Convergence criteria met.,0,0,1
751,3,6,Convergence criteria met.,0,0,1
752,1,1,Convergence criteria met.,0,0,1
752,1,2,Convergence criteria met.,0,0,1
752,1,3,Convergence criteria met.,0,0,1
752,1,4,Convergence criteria met.,0,0,1
752,1,5,Convergence criteria met.,0,0,1
752,1,6,Convergence criteria met.,0,0,1
752,3,1,Convergence criteria met.,0,0,1
752,3,2,Convergence criteria met.,0,0,1
752,3,3,Convergence criteria met.,0,0,1
752,3,4,Convergence criteria met.,0,0,1
752,3,5,Convergence criteria met.,0,0,1
752,3,6,Convergence criteria met.,0,0,1
753,1,1,Convergence criteria met.,0,0,1
753,1,2,Convergence criteria met.,0,0,1
753,1,3,Convergence criteria met.,0,0,1
753,1,4,Convergence criteria met.,0,0,1
753,1,5,Convergence criteria met.,0,0,1
753,1,6,Convergence criteria met.,0,0,1
753,3,1,Convergence criteria met.,0,0,1
753,3,2,Convergence criteria met.,0,0,1
753,3,3,Convergence criteria met.,0,0,1
753,3,4,Convergence criteria met.,0,0,1
753,3,5,Convergence criteria met.,0,0,1
753,3,6,Convergence criteria met.,0,0,1
754,1,1,Convergence criteria met.,0,0,1
754,1,2,Convergence criteria met.,0,0,1
754,1,3,Convergence criteria met.,0,0,1
754,1,4,Convergence criteria met.,0,0,1
754,1,5,Convergence criteria met.,0,0,1
754,1,6,Convergence criteria met.,0,0,1
754,3,1,Convergence criteria met.,0,0,1
754,3,2,Convergence criteria met.,0,0,1
754,3,3,Convergence criteria met.,0,0,1
754,3,4,Convergence criteria met.,0,0,1
754,3,5,Convergence criteria met.,0,0,1
754,3,6,Convergence criteria met.,0,0,1
755,1,1,Convergence criteria met.,0,0,1
755,1,2,Convergence criteria met.,0,0,1
755,1,3,Convergence criteria met.,0,0,1
755,1,4,Convergence criteria met.,0,0,1
755,1,5,Convergence criteria met.,0,0,1
755,1,6,Convergence criteria met.,0,0,1
755,3,1,Convergence criteria met.,0,0,1
755,3,2,Convergence criteria met.,0,0,1
755,3,3,Convergence criteria met.,0,0,1
755,3,4,Convergence criteria met.,0,0,1
755,3,5,Convergence criteria met.,0,0,1
755,3,6,Convergence criteria met.,0,0,1
756,1,1,Convergence criteria met.,0,0,1
756,1,2,Convergence criteria met.,0,0,1
756,1,3,Convergence criteria met.,0,0,1
756,1,4,Convergence criteria met.,0,0,1
756,1,5,Convergence criteria met.,0,0,1
756,1,6,Convergence criteria met.,0,0,1
756,3,1,Convergence criteria met.,0,0,1
756,3,2,Convergence criteria met.,0,0,1
756,3,3,Convergence criteria met.,0,0,1
756,3,4,Convergence criteria met.,0,0,1
756,3,5,Convergence criteria met.,0,0,1
756,3,6,Convergence criteria met.,0,0,1
757,1,1,Convergence criteria met.,0,0,1
757,1,2,Convergence criteria met.,0,0,1
757,1,3,Convergence criteria met.,0,0,1
757,1,4,Convergence criteria met.,0,0,1
757,1,5,Convergence criteria met.,0,0,1
757,1,6,Convergence criteria met.,0,0,1
757,3,1,Convergence criteria met.,0,0,1
757,3,2,Convergence criteria met.,0,0,1
757,3,3,Convergence criteria met.,0,0,1
757,3,4,Convergence criteria met.,0,0,1
757,3,5,Convergence criteria met.,0,0,1
757,3,6,Convergence criteria met.,0,0,1
758,1,1,Convergence criteria met.,0,0,1
758,1,2,Convergence criteria met.,0,0,1
758,1,3,Convergence criteria met.,0,0,1
758,1,4,Convergence criteria met.,0,0,1
758,1,5,Convergence criteria met.,0,0,1
758,1,6,Convergence criteria met.,0,0,1
